model,subset,checkpoint_path,sample_count,steering_mae,steering_rmse,speed_mae,speed_rmse,combined_rmse,mean_pred_steering,mean_pred_speed,mean_true_steering,mean_true_speed
old,all,/home/feras/sim_ws/old stuff/diffusion_policy.pt,20891.0,0.03371408209204674,0.048416681587696075,0.07718539237976074,0.11232096701860428,0.1223117858171463,-0.013311951421201229,4.906628608703613,0.006116656120866537,4.97869873046875
old,hairpin,/home/feras/sim_ws/old stuff/diffusion_policy.pt,861.0,0.05553733557462692,0.07417386770248413,0.07374062389135361,0.1841057389974594,0.19848597049713135,0.052613094449043274,4.929993629455566,0.07846390455961227,5.0
old,non_hairpin,/home/feras/sim_ws/old stuff/diffusion_policy.pt,20030.0,0.03277600184082985,0.04699408635497093,0.077333465218544,0.10817261040210724,0.11793963611125946,-0.016145771369338036,4.9056243896484375,0.003006771905347705,4.977783203125
old,left_turn,/home/feras/sim_ws/old stuff/diffusion_policy.pt,2303.0,0.04362473636865616,0.05831412225961685,0.0654294490814209,0.09853652119636536,0.11449883133172989,0.1546495407819748,4.936018466949463,0.18687193095684052,5.0
old,right_turn,/home/feras/sim_ws/old stuff/diffusion_policy.pt,1880.0,0.03468968719244003,0.048853617161512375,0.058939941227436066,0.1299663633108139,0.13884498178958893,-0.17543762922286987,4.94127893447876,-0.18544074892997742,5.0
old,straight,/home/feras/sim_ws/old stuff/diffusion_policy.pt,13236.0,0.0323256254196167,0.04699334874749184,0.08351140469312668,0.10561096668243408,0.11559433490037918,-0.020146891474723816,4.890658378601074,0.0019496247405186296,4.966379642486572
old,high_steer,/home/feras/sim_ws/old stuff/diffusion_policy.pt,602.0,0.05464448779821396,0.07378309965133667,0.07010773569345474,0.21207784116268158,0.22454611957073212,0.00946916826069355,4.934988021850586,0.03046416863799095,5.0
new,all,/home/feras/sim_ws/diffusion_f110/models/diffusion_policy.pt,20891.0,0.03441412374377251,0.049481865018606186,0.03754628449678421,0.3231375515460968,0.32690417766571045,0.011941843666136265,5.0003180503845215,0.006116656120866537,4.97869873046875
new,hairpin,/home/feras/sim_ws/diffusion_f110/models/diffusion_policy.pt,861.0,0.09704238176345825,0.11721893399953842,0.016327379271388054,0.02143426239490509,0.11916251480579376,0.06539122760295868,5.000904083251953,0.07846390455961227,5.0
new,non_hairpin,/home/feras/sim_ws/diffusion_f110/models/diffusion_policy.pt,20030.0,0.031722016632556915,0.044306546449661255,0.038458384573459625,0.32997968792915344,0.332940936088562,0.009644294157624245,5.0002923011779785,0.003006771905347705,4.977783203125
new,left_turn,/home/feras/sim_ws/diffusion_f110/models/diffusion_policy.pt,2303.0,0.05858230218291283,0.07316888123750687,0.015950070694088936,0.020841633901000023,0.07607929408550262,0.13436098396778107,5.000631809234619,0.18687193095684052,5.0
new,right_turn,/home/feras/sim_ws/diffusion_f110/models/diffusion_policy.pt,1880.0,0.07285763323307037,0.09034532308578491,0.018015163019299507,0.023425279185175896,0.09333284944295883,-0.11605871468782425,4.999203205108643,-0.18544074892997742,5.0
new,straight,/home/feras/sim_ws/diffusion_f110/models/diffusion_policy.pt,13236.0,0.02534080483019352,0.03638328239321709,0.04936971142888069,0.4056158661842346,0.40724435448646545,0.009178061038255692,5.000002384185791,0.0019496247405186296,4.966379642486572
new,high_steer,/home/feras/sim_ws/diffusion_f110/models/diffusion_policy.pt,602.0,0.12138601392507553,0.13662146031856537,0.015776824206113815,0.020637942478060722,0.13817143440246582,0.0325680635869503,4.999303340911865,0.03046416863799095,5.0
