mode,map_name,trial_id,model_path,t,x,y,yaw,odom_speed,yaw_rate,raw_action_0,raw_action_1,steer,commanded_speed,speed_limit,min_lidar,distance_from_start,distance_travelled,lap_complete,collided,terminated,termination_reason
current,Catalunya,current_01,diffusion_f110/models/diffusion_policy.pt,0.15191960334777832,0.0,0.0,0.0,0.0,0.0,0.29370445013046265,5.028804779052734,0.29370445013046265,0.8,0.8,1.0123323202133179,0.0,0.0,0,0,0,
current,Catalunya,current_01,diffusion_f110/models/diffusion_policy.pt,0.2512524127960205,0.014290680177509785,3.571014531189576e-05,0.006763538265991933,0.28888367342200194,0.22899237163713565,0.26083460450172424,4.974902153015137,0.26083460450172424,0.8,0.8,1.0023232698440552,0.014290724880993366,0.014290753824752755,0,0,0,
current,Catalunya,current_01,diffusion_f110/models/diffusion_policy.pt,0.3514902591705322,0.053810156881809235,0.0009867213666439056,0.0408683780047513,0.4859913520884557,0.3852357315721672,0.23574724793434143,4.910808086395264,0.23574724793434143,0.8,0.8,0.9698835015296936,0.0538192018866539,0.05382355449546594,0,0,0,
current,Catalunya,current_01,diffusion_f110/models/diffusion_policy.pt,0.4533884525299072,0.10225076973438263,0.008782578632235527,0.07705328707904753,0.5974551173750885,0.4177501119044288,0.15326569974422455,4.944692134857178,0.15326569974422455,0.8,0.8,0.964159369468689,0.10262725502252579,0.10293665675271768,0,0,0,
current,Catalunya,current_01,diffusion_f110/models/diffusion_policy.pt,0.553354024887085,0.1649547517299652,0.021397003903985023,0.11469433473078239,0.6755648371835389,0.30151030078311,0.2314717322587967,4.975106716156006,0.2314717322587967,0.8,0.8,0.9084262251853943,0.16633671522140503,0.16690018407825846,0,0,0,
current,Catalunya,current_01,diffusion_f110/models/diffusion_policy.pt,0.6535799503326416,0.2333763688802719,0.036727774888277054,0.1538902601606058,0.7235522063781414,0.5118206138781091,0.27062687277793884,4.974433898925781,0.27062687277793884,0.8,0.8,0.851455569267273,0.23624873161315918,0.23704777898092289,0,0,0,
current,Catalunya,current_01,diffusion_f110/models/diffusion_policy.pt,0.7535738945007324,0.30383720993995667,0.05910028517246246,0.2115489458434202,0.7530336538582536,0.6232935891368155,0.19708038866519928,4.969139099121094,0.19708038866519928,0.8,0.8,0.8289918899536133,0.3095317482948303,0.3109948426281335,0,0,0,
current,Catalunya,current_01,diffusion_f110/models/diffusion_policy.pt,0.8535163402557373,0.37531766295433044,0.08573209494352341,0.2655060246101631,0.7711458312939019,0.49028645471191523,0.2662672698497772,4.982342720031738,0.2662672698497772,0.8,0.8,0.7838221192359924,0.3849848508834839,0.38727617224503774,0,0,0,
current,Catalunya,current_01,diffusion_f110/models/diffusion_policy.pt,0.9512317180633545,0.45374444127082825,0.1197890043258667,0.3277329158517601,0.7831161110491983,0.6334727346753798,0.22877457737922668,4.976688385009766,0.22877457737922668,0.8,0.8,0.7663755416870117,0.4692903459072113,0.4728182545659365,0,0,0,
current,Catalunya,current_01,diffusion_f110/models/diffusion_policy.pt,1.0511910915374756,0.5235437750816345,0.15605346858501434,0.3865733670671064,0.7896272441455009,0.57787941017163,0.2652226984500885,4.9740824699401855,0.2652226984500885,0.8,0.8,0.75102299451828,0.5463064908981323,0.5514813038316788,0,0,0,
current,Catalunya,current_01,diffusion_f110/models/diffusion_policy.pt,1.1511788368225098,0.5913031697273254,0.19697216153144836,0.4493898923642423,0.7936274140159563,0.6427711491613035,0.14384448528289795,4.929004669189453,0.14384448528289795,0.8,0.8,0.730039656162262,0.623247504234314,0.6306597758812131,0,0,0,
current,Catalunya,current_01,diffusion_f110/models/diffusion_policy.pt,1.251345157623291,0.6579254269599915,0.2403329610824585,0.49704461655385573,0.7960849523208613,0.3388936591445083,0.2018488198518753,4.979955673217773,0.2018488198518753,0.8,0.8,0.699663519859314,0.7004468441009521,0.7101550782826962,0,0,0,
current,Catalunya,current_01,diffusion_f110/models/diffusion_policy.pt,1.3512282371520996,0.7235898971557617,0.28544002771377563,0.5403648077165076,0.7975947618328728,0.49217212540836575,0.1824871301651001,4.9683074951171875,0.1824871301651001,0.8,0.8,0.6758584976196289,0.7778549790382385,0.7898448017222108,0,0,0,
current,Catalunya,current_01,diffusion_f110/models/diffusion_policy.pt,1.453298807144165,0.7806812524795532,0.3290191888809204,0.5805943645996621,0.7984485543092134,0.4162113313137407,0.19063672423362732,4.969844341278076,0.19063672423362732,0.8,0.8,0.6549995541572571,0.8471816778182983,0.8616694231313886,0,0,0,
current,Catalunya,current_01,diffusion_f110/models/diffusion_policy.pt,1.5535821914672852,0.8424533605575562,0.3796509802341461,0.6229401222076514,0.7990468607716771,0.4164402983290658,0.08115606755018234,4.976945400238037,0.08115606755018234,0.8,0.8,0.6457780599594116,0.9240468144416809,0.941546442991239,0,0,0,
