mode,map_name,trial_id,model_path,t,x,y,yaw,odom_speed,yaw_rate,raw_action_0,raw_action_1,steer,commanded_speed,speed_limit,min_lidar,distance_from_start,distance_travelled,lap_complete,collided,terminated,termination_reason
current,Melbourne,current_01,diffusion_f110/models/diffusion_policy.pt,0.1421205997467041,0.0,0.0,0.0,0.0,0.0,-0.32058990001678467,5.0012383460998535,-0.32058990001678467,0.8,0.8,1.0562217235565186,0.0,0.0,0,0,0,
current,Melbourne,current_01,diffusion_f110/models/diffusion_policy.pt,0.24060463905334473,0.011529473587870598,-1.992827674257569e-05,-0.004714758955797005,0.26336676240764534,-0.1817112858783005,-0.38423648476600647,4.9805803298950195,-0.38423648476600647,0.8,0.8,1.0555534362792969,0.011529490351676941,0.0115295020659687,0,0,0,
current,Melbourne,current_01,diffusion_f110/models/diffusion_policy.pt,0.3386240005493164,0.0490276999771595,-0.0009372075437568128,-0.04769945193232974,0.470314821273154,-0.6292467303483986,-0.283760130405426,4.970749855041504,-0.283760130405426,0.8,0.8,0.9949135780334473,0.0490366593003273,0.04904200842429418,0,0,0,
current,Melbourne,current_01,diffusion_f110/models/diffusion_policy.pt,0.44045519828796387,0.1017567440867424,-0.011415288783609867,-0.10151640912964167,0.5974551173750885,-0.4968229618376807,-0.26329827308654785,4.98137903213501,-0.26329827308654785,0.8,0.8,0.992336094379425,0.10239503532648087,0.1029334716295125,0,0,0,
current,Melbourne,current_01,diffusion_f110/models/diffusion_policy.pt,0.5401029586791992,0.16352246701717377,-0.028013302013278008,-0.1535884218530026,0.6755648371835389,-0.5594719639856597,-0.2638774812221527,4.9970622062683105,-0.2638774812221527,0.8,0.8,0.941045880317688,0.16590462625026703,0.1668970012833597,0,0,0,
current,Melbourne,current_01,diffusion_f110/models/diffusion_policy.pt,0.6386063098907471,0.23019252717494965,-0.049797624349594116,-0.21082050070556171,0.7235522063781414,-0.5989474192939107,-0.2568013370037079,4.973220348358154,-0.2568013370037079,0.8,0.8,0.9293434023857117,0.23551730811595917,0.23704478943545837,0,0,0,
current,Melbourne,current_01,diffusion_f110/models/diffusion_policy.pt,0.7385482788085938,0.29902440309524536,-0.07679329812526703,-0.2712456070804194,0.7530336538582536,-0.623380117867377,-0.21906021237373352,4.985489368438721,-0.21906021237373352,0.8,0.8,0.9289780259132385,0.3087277114391327,0.31099191222165246,0,0,0,
current,Melbourne,current_01,diffusion_f110/models/diffusion_policy.pt,0.8389496803283691,0.36878812313079834,-0.10764351487159729,-0.3252038957983807,0.7711458312939019,-0.49028654237628655,-0.1687820702791214,4.985278606414795,-0.1687820702791214,0.8,0.8,0.9302129745483398,0.3841767907142639,0.38727326279331464,0,0,0,
current,Melbourne,current_01,diffusion_f110/models/diffusion_policy.pt,0.9385855197906494,0.43908584117889404,-0.1407741755247116,-0.36929659047457286,0.7822732011993891,-0.40713013027939415,-0.18685123324394226,5.009610652923584,-0.18685123324394226,0.8,0.8,0.8772644400596619,0.46110057830810547,0.4649886401166441,0,0,0,
current,Melbourne,current_01,diffusion_f110/models/diffusion_policy.pt,1.0385537147521973,0.5089694857597351,-0.1767292320728302,-0.4109387044396382,0.7891093953264325,-0.41086395090810246,-0.13160981237888336,4.982852458953857,-0.13160981237888336,0.8,0.8,0.9357693791389465,0.5387793183326721,0.5435850234498503,0,0,0,
