mode,map_name,trial_id,model_path,t,x,y,yaw,odom_speed,yaw_rate,raw_action_0,raw_action_1,steer,commanded_speed,speed_limit,min_lidar,distance_from_start,distance_travelled,lap_complete,collided,terminated,termination_reason
legacy,Catalunya,legacy_01,old stuff/diffusion_policy.pt,0.14250445365905762,0.026686616241931915,-0.01617303490638733,0.9983147013871451,0.0,0.0,0.25466668605804443,0.779895544052124,0.11314456576908104,3.0,3.0,1.213892936706543,0.0,0.0,0,0,0,
legacy,Catalunya,legacy_01,old stuff/diffusion_policy.pt,0.2395491600036621,0.043756067752838135,0.011892266571521759,1.0062520779938822,0.7893299999999998,0.21992205894402647,0.23324327170848846,0.7570596933364868,0.10346416227582733,3.0,3.0,1.2372015714645386,0.032848551869392395,0.03285632855840959,0,0,0,
legacy,Catalunya,legacy_01,old stuff/diffusion_policy.pt,0.3394346237182617,0.10309890657663345,0.12046588957309723,1.0420451480697677,1.630980911661605,0.4720313542409525,0.15840628743171692,0.7116309404373169,0.0699599208109876,3.0,3.0,1.2247729301452637,0.15655361115932465,0.1565940605069045,0,0,0,
legacy,Catalunya,legacy_01,old stuff/diffusion_policy.pt,0.43939995765686035,0.18944361805915833,0.29150956869125366,1.0910612398179562,2.15893150573758,0.46686927572954895,0.04928804934024811,0.6676576137542725,0.021694583731418752,2.9240124821662903,2.9240124821662903,1.1984808444976807,0.348078191280365,0.34820310413488187,0,0,0,
legacy,Catalunya,legacy_01,old stuff/diffusion_policy.pt,0.5395388603210449,0.2891451120376587,0.501112163066864,1.1228719612872688,2.4563090960389817,0.13415296366351132,-0.03748248890042305,0.6462088227272034,-0.016495743584157275,2.719693422317505,2.719693422317505,1.1852771043777466,0.5800589919090271,0.5803110898996238,0,0,0,
legacy,Catalunya,legacy_01,old stuff/diffusion_policy.pt,0.6394331455230713,0.3973590135574341,0.7285522818565369,1.123850783612703,2.5641477270935873,-0.10489139217320483,-0.06116943061351776,0.6378816962242126,-0.026929542388176585,2.679254651069641,2.679254651069641,1.159680962562561,0.8318737149238586,0.8321837560797576,0,0,0,
legacy,Catalunya,legacy_01,old stuff/diffusion_policy.pt,0.739800214767456,0.5112292170524597,0.961133599281311,1.1124545585920336,2.609777997233595,-0.11958826744602198,-0.05143018811941147,0.6365702152252197,-0.02263819262661332,2.761377453804016,2.761377453804016,1.1296805143356323,1.090829849243164,1.0911454727465753,0,0,0,
legacy,Catalunya,legacy_01,old stuff/diffusion_policy.pt,0.8395874500274658,0.6299394965171814,1.1967473030090332,1.1006275234651446,2.665722193638854,-0.1211089602866247,-0.04828588292002678,0.6341524124145508,-0.021253161714118066,2.807717800140381,2.807717800140381,1.096761703491211,1.3546547889709473,1.3549762928450946,0,0,0,
legacy,Catalunya,legacy_01,old stuff/diffusion_policy.pt,0.9394350051879883,0.7539397478103638,1.4358638525009155,1.0885936208576068,2.7190602785106726,-0.12329307326999535,-0.03810245171189308,0.632371723651886,-0.01676870120443305,2.849973678588867,2.849973678588867,1.0696157217025757,1.623979091644287,1.6243340560758952,0,0,0,
legacy,Catalunya,legacy_01,old stuff/diffusion_policy.pt,1.0392675399780273,0.8831887245178223,1.6780019998550415,1.076344852435785,2.7682498835406295,-0.1253244482132988,-0.029881667345762253,0.6330038905143738,-0.013149680758497087,2.8763163685798645,2.8763163685798645,1.045845866203308,1.898374319076538,1.8988100291753653,0,0,0,
legacy,Catalunya,legacy_01,old stuff/diffusion_policy.pt,1.13944411277771,1.0175330638885498,1.9225001335144043,1.0638866452943072,2.8091168244479183,-0.1272715496153642,-0.015342984348535538,0.632950484752655,-0.0067511495960857195,2.9296980500221252,2.9296980500221252,1.0253314971923828,2.1772069931030273,2.177787957858527,0,0,0,
legacy,Catalunya,legacy_01,old stuff/diffusion_policy.pt,1.2394132614135742,1.1569757461547852,2.169018268585205,1.0512772971089073,2.8539806497922537,-0.12867417167526984,0.010955989360809326,0.6337978839874268,0.004820721421641054,3.0,3.0,1.0333749055862427,2.4602062702178955,2.461013050895417,0,0,0,
legacy,Catalunya,legacy_01,old stuff/diffusion_policy.pt,1.3393149375915527,1.300561547279358,2.4188778400421143,1.0503356914588238,2.9081355289368434,0.1164370489201725,0.008327580988407135,0.6322105526924133,0.0036641734457468693,3.0,3.0,1.0047658681869507,2.7481322288513184,2.749191813316429,0,0,0,
legacy,Catalunya,legacy_01,old stuff/diffusion_policy.pt,1.4394516944885254,1.4440330266952515,2.674032688140869,1.063091583194964,2.9435622826507992,0.13309196805395962,-0.03465932235121727,0.6261392831802368,-0.015252828229467328,2.9415408968925476,2.9415408968925476,0.9648506045341492,3.040736436843872,3.0419185721839312,0,0,0,
legacy,Catalunya,legacy_01,old stuff/diffusion_policy.pt,1.5394315719604492,1.586630940437317,2.9315669536590576,1.064188584777366,2.9422455749389638,-0.1193426646750591,-0.05187220871448517,0.6228978633880615,-0.022832913456123278,2.9053686261177063,2.9053686261177063,0.9905517101287842,3.3350558280944824,3.3362964989210013,0,0,0,
legacy,Catalunya,legacy_01,old stuff/diffusion_policy.pt,1.6393518447875977,1.7306243181228638,3.186042070388794,1.0510922804298364,2.9108712489032844,-0.1349046894144418,-0.028370052576065063,0.6223462820053101,-0.012484318283969531,2.97089159488678,2.97089159488678,0.9334810376167297,3.6273386478424072,3.628687679913128,0,0,0,
legacy,Catalunya,legacy_01,old stuff/diffusion_policy.pt,1.7393527030944824,1.8775973320007324,3.4383935928344727,1.0379384248267831,2.9315015554762844,-0.13278204227081083,-0.007334522902965546,0.628265917301178,-0.0032272159102833065,3.0,3.0,0.9464179873466492,3.919171094894409,3.9207210896129254,0,0,0,
