t,steer,speed,min_lidar
0.05815386772155762,-0.12166376411914825,0.6427955031394958,1.1130654
0.11063814163208008,-0.13299518823623657,0.6541525721549988,1.1223676
0.16553544998168945,-0.12309989333152771,0.6867908835411072,1.118107
0.21818208694458008,-0.11343218386173248,0.7238276600837708,1.119283
0.2708115577697754,-0.12769223749637604,0.7921004295349121,1.1159829
0.323854923248291,-0.1457894742488861,0.7831249833106995,1.1153607
0.3756844997406006,-0.0974206030368805,0.7403623461723328,1.1164154
0.4282569885253906,0.012296658009290695,0.6776328682899475,1.0553643
0.4798727035522461,0.10617789626121521,0.6164008378982544,1.0804553
0.5324771404266357,0.11095990240573883,0.6151204705238342,1.0618782
0.5858571529388428,0.007622595876455307,0.6812077164649963,1.0470699
0.6387410163879395,-0.07949084043502808,0.7622635364532471,1.0573232
0.6914052963256836,-0.09818994998931885,0.7983965277671814,1.0030893
0.7457201480865479,-0.0691247284412384,0.7553476691246033,1.0062336
0.798490047454834,0.0397716723382473,0.6832135319709778,0.9907849
0.8510262966156006,0.14179839193820953,0.6159074902534485,1.0023375
0.9045507907867432,0.09682591259479523,0.6509273648262024,0.9404234
0.9557754993438721,-0.006283733993768692,0.7378779053688049,0.93541324
1.0082073211669922,-0.019362200051546097,0.7998160719871521,0.9010247
1.0598766803741455,-0.03049847111105919,0.8093076348304749,0.94535017
1.1118073463439941,-0.044045764952898026,0.7826347351074219,0.9487799
1.1638619899749756,0.000882226973772049,0.7398062944412231,0.8884819
1.215883731842041,0.03998909518122673,0.7208309173583984,0.89171153
1.2680280208587646,0.016052741557359695,0.7343174815177917,0.8545564
1.3198583126068115,-0.009193498641252518,0.7689676880836487,0.8798134
1.3716187477111816,-0.02598501369357109,0.8091579675674438,0.8877989
1.423736333847046,-0.002048645168542862,0.7866247296333313,0.82838917
1.4757804870605469,0.04299302026629448,0.7311590313911438,0.8309126
1.5280885696411133,0.08412636816501617,0.6924692988395691,0.81396085
1.5796852111816406,0.058322418481111526,0.709035336971283,0.83104426
1.6316421031951904,-0.005094762891530991,0.8198941349983215,0.822893
1.68373703956604,0.04475165158510208,0.7414279580116272,0.8237332
1.7359719276428223,0.04909902811050415,0.7366347908973694,0.7777869
1.7880275249481201,0.050189241766929626,0.6874529719352722,0.82154393
1.8397634029388428,0.049408771097660065,0.6202779412269592,0.8264768
1.8919003009796143,0.04646400734782219,0.5646817088127136,0.82513356
1.9437191486358643,0.054170433431863785,0.5210070013999939,0.8239807
1.995755672454834,0.034560106694698334,0.48741695284843445,0.8396102
2.0480360984802246,0.013740040361881256,0.4459795653820038,0.8878898
2.1014010906219482,-0.013050004839897156,0.4080190360546112,0.88572973
2.154245138168335,-0.03317594900727272,0.39519965648651123,0.8910677
2.211594820022583,-0.03883263096213341,0.3984799087047577,0.8836013
2.2637133598327637,-0.04178899899125099,0.4264853894710541,0.8930647
2.3157989978790283,-0.02947569265961647,0.46270817518234253,0.9421668
2.3685109615325928,-0.04794665053486824,0.5159344673156738,0.9405283
2.419745922088623,-0.023599836975336075,0.5410359501838684,0.94229835
2.471632480621338,-0.012987937778234482,0.5649147629737854,0.94506997
2.523789405822754,-0.002353120595216751,0.6192283630371094,0.9023763
2.575753688812256,-0.0696532279253006,0.7174085974693298,0.9507461
2.628077507019043,-0.021952804177999496,0.7286905646324158,0.941264
2.6798880100250244,0.026675883680582047,0.7093795537948608,0.8928788
2.731675624847412,0.06350240111351013,0.69901043176651,0.8850364
2.783860683441162,0.045272257179021835,0.7105613350868225,0.90136707
2.8356802463531494,0.010213721543550491,0.7206998467445374,0.9407928
2.888098955154419,-0.01469484344124794,0.6934196352958679,0.8868128
2.9397122859954834,-0.03326142206788063,0.6718692183494568,0.88077325
2.9917051792144775,-0.016144972294569016,0.6806759238243103,0.8833118
3.0436761379241943,0.011010322719812393,0.6897904276847839,0.8495111
3.0956480503082275,0.04913146421313286,0.6843767762184143,0.8827904
3.1488120555877686,0.035091254860162735,0.6677477955818176,0.88469166
3.2006025314331055,0.004248153418302536,0.650486171245575,0.88864243
3.251671552658081,-0.01431627944111824,0.6208796501159668,0.8890734
3.3037989139556885,0.0292804017663002,0.5466765761375427,0.834825
3.3557064533233643,0.028981272131204605,0.556273877620697,0.87575346
3.4081931114196777,0.02285880595445633,0.5265492796897888,0.88593274
3.4598262310028076,0.00664101168513298,0.49516013264656067,0.8907384
3.5118608474731445,-0.023462947458028793,0.4870940148830414,0.88957816
3.563711166381836,-0.03633659705519676,0.46582579612731934,0.888255
3.6157960891723633,-0.052176471799612045,0.4787594974040985,0.8962479
3.668135404586792,-0.02553439512848854,0.48164016008377075,0.93777144
3.7198052406311035,-0.0070123933255672455,0.5014294385910034,0.94127333
3.771636962890625,-0.045323390513658524,0.5753366351127625,0.9365637
3.8237266540527344,-0.00953749194741249,0.5624741315841675,0.8888295
3.8758649826049805,0.041520942002534866,0.5525973439216614,0.8901218
3.9278533458709717,0.13408179581165314,0.5324582457542419,0.8803927
3.981290817260742,0.04416406527161598,0.5533196330070496,0.94181806
4.0346338748931885,-0.026012834161520004,0.5462850332260132,0.9345892
4.086954832077026,-0.06662392616271973,0.5458922982215881,0.9348965
4.141347646713257,-0.06554645299911499,0.5411787033081055,0.9441352
4.194188117980957,-0.02914106473326683,0.5294596552848816,0.8878836
4.250472545623779,0.023042742162942886,0.5181096196174622,0.88818204
4.30525016784668,0.11131083965301514,0.4851924479007721,0.8860703
4.3579888343811035,0.10008858144283295,0.4959600269794464,0.90256584
4.413437128067017,-0.03957849368453026,0.5218705534934998,0.9389183
4.466047286987305,-0.03221536800265312,0.4537735879421234,0.94228387
4.518201589584351,-0.1174578070640564,0.5245122313499451,0.95126975
4.570901155471802,-0.08900275826454163,0.508899986743927,0.94712216
4.626519203186035,0.053842730820178986,0.46052053570747375,0.93860924
4.6814281940460205,0.12896814942359924,0.44932857155799866,0.88916665
4.7362940311431885,0.1368984431028366,0.4497407376766205,0.8937794
4.7915568351745605,0.078353151679039,0.4505883753299713,0.9496156
4.844664573669434,-0.062409523874521255,0.49585774540901184,0.9493386
4.897608280181885,-0.09740139544010162,0.49539121985435486,0.94548905
4.950515985488892,-0.07631568610668182,0.48465070128440857,0.94783396
5.00551700592041,0.043853312730789185,0.4443855285644531,0.94553924
5.057931423187256,0.06472684442996979,0.43367359042167664,0.94291925
5.111347436904907,0.06010790914297104,0.434864342212677,0.94278365
5.165534496307373,0.023014236241579056,0.44976991415023804,0.95912844
5.218183279037476,0.010968420654535294,0.44809991121292114,0.9989365
5.271785020828247,-0.014940585941076279,0.45027032494544983,1.0021671
5.325601816177368,-0.03168301656842232,0.4462756812572479,0.9967914
5.378456115722656,-0.03161916509270668,0.43891316652297974,0.9982023
