t,steer,speed,pred_speed,safety_speed,min_lidar
0.11824750900268555,0.06042063608765602,2.0203191216471685,5.0,2.0203191216471685,0.9306450486183167
0.20392751693725586,0.07510193437337875,1.9659472060784786,4.999532699584961,1.9659472060784786,0.9243379235267639
0.30351781845092773,0.11584625393152237,1.9399834542583154,4.983916282653809,1.9399834542583154,0.9223961234092712
0.4035763740539551,0.08952455222606659,2.330436873474587,4.980182647705078,2.330436873474587,0.929458498954773
0.5033984184265137,0.0802624374628067,2.665800810518899,4.960127830505371,2.665800810518899,0.9681258201599121
0.6033632755279541,0.01974400132894516,3.0973311930894853,5.0,3.0973311930894853,0.9329003691673279
0.7035839557647705,0.06810814142227173,2.845837664604187,5.0,2.845837664604187,0.9422523379325867
0.8028335571289062,0.06117134168744087,2.764138081531374,4.978591442108154,2.764138081531374,0.925067126750946
0.9013099670410156,-0.04742869734764099,2.4652910366419842,4.944087505340576,2.4652910366419842,0.8768090009689331
1.0012967586517334,-0.11014246940612793,2.041786448548976,4.9977922439575195,2.041786448548976,0.8494173884391785
1.1012787818908691,0.00432038027793169,2.942819233251232,4.991124153137207,2.942819233251232,0.8456513285636902
1.2017111778259277,0.05954910069704056,2.8903446763753893,4.937382221221924,2.8903446763753893,0.8819583654403687
1.3014357089996338,0.033223338425159454,2.956298741246249,4.970951080322266,2.956298741246249,0.8482974767684937
1.401759386062622,-0.07387253642082214,2.580268240241405,4.9812092781066895,2.580268240241405,0.8003333210945129
1.503772497177124,-0.08650030940771103,2.3515403253334357,5.0,2.3515403253334357,0.7796245813369751
1.6039247512817383,-0.02423020452260971,3.0731104482231375,5.0,3.0731104482231375,0.7894125580787659
1.7031822204589844,0.0710156112909317,2.8307188212871552,4.953017234802246,2.8307188212871552,0.8212865591049194
1.8030500411987305,0.11745098978281021,2.589254853129387,4.951878070831299,2.589254853129387,0.7771549224853516
1.902987003326416,0.00832976121455431,2.769350630737858,4.959549903869629,2.769350630737858,0.7448583245277405
2.002991199493408,-0.1049700453877449,1.6908961436176826,4.939948558807373,1.6908961436176826,0.7104571461677551
2.1031131744384766,-0.00894671306014061,2.189026443852323,4.934864521026611,2.189026443852323,0.6548583507537842
