tag,step,wall_time,value
loss/train_epoch,0,1775770826.3722777,5.2679243087768555
loss/train_epoch,1,1775770826.9074512,5.4285383224487305
loss/train_epoch,2,1775770827.4334087,5.281669616699219
loss/train_epoch,3,1775770827.9658968,5.145432472229004
loss/train_epoch,4,1775770828.4965472,5.0579514503479
loss/train_epoch,5,1775770829.0711339,5.0501861572265625
loss/train_epoch,6,1775770829.5993342,5.02327299118042
loss/train_epoch,7,1775770830.1162872,5.049628734588623
loss/train_epoch,8,1775770830.6316013,5.407090187072754
loss/train_epoch,9,1775770831.1486757,5.037873268127441
loss/train_epoch,10,1775770831.6999009,5.1502509117126465
loss/train_epoch,11,1775770832.2277603,5.035592079162598
loss/train_epoch,12,1775770832.7553375,5.053804397583008
loss/train_epoch,13,1775770833.3339972,5.138251304626465
loss/train_epoch,14,1775770833.8607488,4.9279069900512695
loss/train_epoch,15,1775770834.391472,5.016040325164795
loss/train_epoch,16,1775770834.9243324,4.813459396362305
loss/train_epoch,17,1775770835.4542756,4.9154744148254395
loss/train_epoch,18,1775770835.9771535,4.840706825256348
loss/train_epoch,19,1775770836.506624,4.850486755371094
loss/train_epoch,20,1775770837.031826,4.934197902679443
loss/train_epoch,21,1775770837.606626,4.840014934539795
loss/train_epoch,22,1775770838.1379263,4.78006649017334
loss/train_epoch,23,1775770838.6672168,4.926712512969971
loss/train_epoch,24,1775770839.2015872,4.9429144859313965
loss/train_epoch,25,1775770839.7343607,4.938427448272705
loss/train_epoch,26,1775770840.267576,4.879998207092285
loss/train_epoch,27,1775770840.7997203,4.817278861999512
loss/train_epoch,28,1775770841.3319883,4.86004114151001
loss/train_epoch,29,1775770841.8660605,4.868042469024658
loss/train_epoch,30,1775770842.4492652,4.901792526245117
loss/train_epoch,31,1775770842.9804714,4.789397239685059
loss/train_epoch,32,1775770843.520908,4.825270652770996
loss/train_epoch,33,1775770844.0354276,4.719972133636475
loss/train_epoch,34,1775770844.550897,4.662574768066406
loss/train_epoch,35,1775770845.0655577,4.760872840881348
loss/train_epoch,36,1775770845.5803711,4.764883518218994
loss/train_epoch,37,1775770846.0974007,4.762516021728516
loss/train_epoch,38,1775770846.6590774,4.8924455642700195
loss/train_epoch,39,1775770847.176572,4.615140438079834
loss/train_epoch,40,1775770847.70522,4.819736957550049
loss/train_epoch,41,1775770848.2271783,4.761394023895264
loss/train_epoch,42,1775770848.7505894,4.561141014099121
loss/train_epoch,43,1775770849.2725995,4.788805961608887
loss/train_epoch,44,1775770849.8010502,4.828495502471924
loss/train_epoch,45,1775770850.3250744,4.833632946014404
loss/train_epoch,46,1775770850.843751,4.736841678619385
loss/train_epoch,47,1775770851.4155352,4.819362163543701
loss/train_epoch,48,1775770851.9422371,4.572070121765137
loss/train_epoch,49,1775770852.466257,4.539900779724121
loss/train_epoch,50,1775770852.990569,4.800843715667725
loss/train_epoch,51,1775770853.5148437,4.52391242980957
loss/train_epoch,52,1775770854.0405493,4.715184211730957
loss/train_epoch,53,1775770854.5610063,4.622411727905273
loss/train_epoch,54,1775770855.0834105,4.685722827911377
loss/train_epoch,55,1775770855.6530201,4.701442241668701
loss/train_epoch,56,1775770856.221634,4.576068878173828
loss/train_epoch,57,1775770856.7511826,4.5352702140808105
loss/train_epoch,58,1775770857.2785823,4.494655132293701
loss/train_epoch,59,1775770857.805896,4.517904758453369
loss/train_epoch,60,1775770858.336448,4.525542259216309
loss/train_epoch,61,1775770858.868406,4.370447635650635
loss/train_epoch,62,1775770859.3970914,4.5885138511657715
loss/train_epoch,63,1775770859.9246643,4.512312889099121
loss/train_epoch,64,1775770860.5027864,4.542536735534668
loss/train_epoch,65,1775770861.028363,4.651710033416748
loss/train_epoch,66,1775770861.551773,4.5134596824646
loss/train_epoch,67,1775770862.0736759,4.489819049835205
loss/train_epoch,68,1775770862.606768,4.555941104888916
loss/train_epoch,69,1775770863.137921,4.49030876159668
loss/train_epoch,70,1775770863.6971307,4.654271602630615
loss/train_epoch,71,1775770864.2237425,4.518174648284912
loss/train_epoch,72,1775770864.8044958,4.5052995681762695
loss/train_epoch,73,1775770865.331782,4.553621768951416
loss/train_epoch,74,1775770865.8508632,4.5637712478637695
loss/train_epoch,75,1775770866.3718052,4.438767910003662
loss/train_epoch,76,1775770866.894219,4.553681373596191
loss/train_epoch,77,1775770867.4151628,4.596418380737305
loss/train_epoch,78,1775770867.9424036,4.505319595336914
loss/train_epoch,79,1775770868.4675562,4.486994743347168
loss/train_epoch,80,1775770868.9867072,4.568136215209961
loss/train_epoch,81,1775770869.5565538,4.610036849975586
