mode,map_name,trial_id,model_path,t,x,y,yaw,odom_speed,yaw_rate,raw_action_0,raw_action_1,steer,commanded_speed,speed_limit,min_lidar,distance_from_start,distance_travelled,lap_complete,collided,terminated,termination_reason
current,Budapest,current_01,diffusion_f110/models/diffusion_policy.pt,0.14200210571289062,0.0,0.0,0.0,0.0,0.0,-0.21827806532382965,4.9994072914123535,-0.21827806532382965,0.8,0.8,1.1011918783187866,0.0,0.0,0,0,0,
current,Budapest,current_01,diffusion_f110/models/diffusion_policy.pt,0.2407515048980713,0.011529473587870598,-1.992827674257569e-05,-0.004714758955797005,0.26336676240764534,-0.1817112858783005,-0.305869996547699,4.9880242347717285,-0.305869996547699,0.8,0.8,1.0983155965805054,0.011529490351676941,0.0115295020659687,0,0,0,
current,Budapest,current_01,diffusion_f110/models/diffusion_policy.pt,0.3404996395111084,0.04903401434421539,-0.0007178067462518811,-0.0352959710579779,0.470314821273154,-0.42193875283705373,-0.2910059690475464,4.99312686920166,-0.2910059690475464,0.8,0.8,1.075122356414795,0.049039267003536224,0.04904202542093117,0,0,0,
current,Budapest,current_01,diffusion_f110/models/diffusion_policy.pt,0.4402775764465332,0.10200009495019913,-0.009949133731424809,-0.08399595206139777,0.5974551173750885,-0.5319269006271893,-0.2649272382259369,4.9729228019714355,-0.2649272382259369,0.8,0.8,1.0670065879821777,0.10248417407274246,0.10293602601450402,0,0,0,
current,Budapest,current_01,diffusion_f110/models/diffusion_policy.pt,0.5404491424560547,0.16389307379722595,-0.026081368327140808,-0.13872279846525284,0.6755648371835389,-0.5595915137522011,-0.25111401081085205,4.960306644439697,-0.25111401081085205,0.8,0.8,1.0297541618347168,0.1659553498029709,0.16689956870686729,0,0,0,
current,Budapest,current_01,diffusion_f110/models/diffusion_policy.pt,0.640800952911377,0.23109474778175354,-0.046187564730644226,-0.19179064949860902,0.7235522063781414,-0.513230440573634,-0.2538084089756012,4.980942726135254,-0.2538084089756012,0.8,0.8,1.0313186645507812,0.23566517233848572,0.23704739224922378,0,0,0,
current,Budapest,current_01,diffusion_f110/models/diffusion_policy.pt,0.7402808666229248,0.30091145634651184,-0.07052947580814362,-0.24510645787972973,0.7530336538582536,-0.5355078181025912,-0.15328405797481537,4.986822605133057,-0.15328405797481537,0.8,0.8,1.0076125860214233,0.309066504240036,0.3109945457690628,0,0,0,
current,Budapest,current_01,diffusion_f110/models/diffusion_policy.pt,0.8404190540313721,0.3720242381095886,-0.09812360256910324,-0.2906963484741658,0.7711458312939019,-0.3431109562808838,-0.10381706804037094,4.9705915451049805,-0.10381706804037094,0.8,0.8,1.0100678205490112,0.3847470283508301,0.3872758711950155,0,0,0,
current,Budapest,current_01,diffusion_f110/models/diffusion_policy.pt,0.9405722618103027,0.44454601407051086,-0.12605606019496918,-0.3198388813788242,0.7822732011993891,-0.2564482217409415,-0.20901642739772797,4.954113006591797,-0.20901642739772797,0.8,0.8,0.9771416783332825,0.46207281947135925,0.46499125876289327,0,0,0,
current,Budapest,current_01,diffusion_f110/models/diffusion_policy.pt,1.040149450302124,0.5165536999702454,-0.15747053921222687,-0.3580736388286437,0.7891093953264325,-0.5006586528700884,-0.05998379737138748,4.983309745788574,-0.05998379737138748,0.9546710115392777,0.9546710115392777,0.9820463061332703,0.5400228500366211,0.5435874064714881,0,0,0,
current,Budapest,current_01,diffusion_f110/models/diffusion_policy.pt,1.1381309032440186,0.59010910987854,-0.1931968331336975,-0.3925022877537201,0.8482128936361345,-0.12155746154772867,-0.17833243310451508,4.978642463684082,-0.17833243310451508,0.8352378250685272,0.8352378250685272,0.9756304025650024,0.6209297776222229,0.6253733032644959,0,0,0,
current,Budapest,current_01,diffusion_f110/models/diffusion_policy.pt,1.2381515502929688,0.6657587289810181,-0.22977206110954285,-0.4198046974335583,0.836811378762909,-0.43477904964165137,-0.13253451883792877,4.8480987548828125,-0.13253451883792877,1.0261940125682214,1.0261940125682214,0.9411078691482544,0.7042939066886902,0.7094390805141302,0,0,0,
