Wall time,Step,Value
1767726473.537296,18,1.7627103328704834
1767726473.5551023,24,1.2565593719482422
1767726473.6010134,40,0.8222403526306152
1767726473.6066883,42,0.8300748467445374
1767726473.6153414,45,0.7340832948684692
1767726473.647147,56,0.7254185676574707
1767726473.6898181,71,0.7428189516067505
1767726473.6983302,74,0.6694226264953613
1767726473.755526,94,0.663766622543335
1767726473.7782896,102,0.6253066062927246
1767726473.789659,106,0.7156788110733032
1767726473.8466713,126,0.7188707590103149
1767726473.9287734,155,0.7030601501464844
1767726473.9372563,158,0.6424459218978882
1767726473.9632215,167,0.586837649345398
1767726473.994457,178,0.4945209324359894
1767726474.0084665,183,0.5916445255279541
1767726474.014168,185,0.48040804266929626
1767726474.0284057,190,0.4841550588607788
1767726474.1884675,229,0.3958472013473511
1767726474.2023547,234,0.28108301758766174
1767726474.244857,249,0.3869209885597229
1767726474.261798,255,0.4375641345977783
1767726474.27605,260,0.3911564350128174
1767726474.2960706,267,0.36502495408058167
1767726474.3132684,273,0.4361368417739868
1767726474.3676076,292,0.34910446405410767
1767726474.41327,308,0.22601726651191711
1767726474.4188786,310,0.23974360525608063
1767726474.4418902,318,0.2709594666957855
1767726474.475877,330,0.28121083974838257
1767726474.501525,339,0.2259412407875061
1767726474.5246456,347,0.2930038571357727
1767726474.569505,363,0.4011041522026062
1767726474.5809176,367,0.2763814628124237
1767726474.7885213,421,0.20974300801753998
1767726474.7914598,422,0.2302652895450592
1767726474.8400962,439,0.2079494297504425
1767726474.8486633,442,0.25208598375320435
1767726474.8569982,445,0.2035037875175476
1767726474.9009025,460,0.26472488045692444
1767726474.9093099,463,0.22888685762882233
1767726474.9121053,464,0.21419566869735718
1767726474.9411266,474,0.22810757160186768
1767726474.9892876,491,0.2947876453399658
1767726474.9949317,493,0.1892843097448349
1767726475.0552547,514,0.24523505568504333
1767726475.103265,531,0.2757365107536316
1767726475.1176646,536,0.17599263787269592
1767726475.1945353,563,0.20705042779445648
1767726475.2225473,573,0.21550358831882477
1767726475.2396526,579,0.2017877995967865
1767726475.2596107,586,0.1866452991962433
1767726475.262541,587,0.19845756888389587
1767726475.3055384,602,0.23335406184196472
1767726475.358051,620,0.16511602699756622
1767726475.3635604,622,0.22848308086395264
1767726475.3972836,634,0.15044033527374268
1767726475.4175115,641,0.21628503501415253
1767726475.420272,642,0.20617589354515076
1767726475.4260058,644,0.14563405513763428
1767726475.4344702,647,0.1794421225786209
1767726475.4402418,649,0.16889113187789917
1767726475.4747021,661,0.15917137265205383
1767726475.5028908,671,0.174723818898201
1767726475.5524566,688,0.20549419522285461
1767726475.6261375,714,0.1799020767211914
1767726475.6858416,718,0.1587035059928894
1767726475.6971397,722,0.27874329686164856
1767726475.7201374,730,0.23142150044441223
1767726475.7466993,739,0.16642338037490845
1767726475.7583904,743,0.19968028366565704
1767726475.7837489,752,0.13850224018096924
1767726475.795376,756,0.11154986172914505
1767726475.821987,765,0.15298229455947876
1767726475.8331141,769,0.16935044527053833
1767726475.8389783,771,0.19252657890319824
1767726475.8446693,773,0.1511719822883606
1767726475.8642712,780,0.24577555060386658
1767726475.878199,785,0.15489575266838074
1767726475.883691,787,0.19409514963626862
1767726475.8983135,792,0.15929439663887024
1767726475.9039912,794,0.17008012533187866
1767726475.9156723,798,0.217373788356781
1767726475.9275146,802,0.20915117859840393
1767726475.9448347,808,0.21073544025421143
1767726475.9467905,809,0.2089587301015854
1767726476.013942,832,0.10790878534317017
1767726476.0253115,836,0.1619827151298523
1767726476.1196475,869,0.14796265959739685
1767726476.1403883,876,0.1396099030971527
1767726476.15792,882,0.23061761260032654
1767726476.2453685,896,0.1827356368303299
1767726476.256895,900,0.16039328277111053
1767726476.2776632,907,0.21113380789756775
1767726476.2834928,909,0.11977267265319824
1767726476.3008547,915,0.19017402827739716
1767726476.306636,917,0.19131988286972046
1767726476.3474658,931,0.20600852370262146
1767726476.3504415,932,0.12919868528842926
1767726476.378515,942,0.15989607572555542
1767726476.3873053,945,0.23558858036994934
1767726476.413615,954,0.18489548563957214
1767726476.4252636,958,0.13281330466270447
1767726476.436362,962,0.193174809217453
1767726476.462158,971,0.2225262075662613
1767726476.4650402,972,0.21636690199375153
1767726476.4828546,978,0.18888577818870544
1767726476.4857101,979,0.19247230887413025
1767726476.4999187,984,0.13371776044368744
1767726476.5518181,1002,0.21137134730815887
1767726476.5605261,1005,0.1463480144739151
1767726476.5868921,1014,0.17527179419994354
1767726476.6728196,1044,0.13487258553504944
1767726476.7110536,1057,0.14953447878360748
1767726476.7281368,1063,0.13118602335453033
1767726476.7369137,1066,0.15808925032615662
1767726476.7427611,1068,0.16812631487846375
1767726476.7541037,1072,0.10007565468549728
1767726476.7722683,1078,0.17100147902965546
1767726476.786456,1083,0.17398451268672943
1767726476.8165214,1093,0.17673943936824799
1767726476.8336945,1099,0.1439850628376007
1767726476.8482144,1104,0.20741033554077148
1767726476.8776624,1114,0.12202786654233932
1767726476.8916118,1119,0.1744913011789322
1767726477.0002325,1156,0.11325596272945404
1767726477.0119545,1160,0.2025706171989441
1767726477.0148423,1161,0.10926057398319244
1767726477.018043,1162,0.2320196032524109
1767726477.0708785,1180,0.1763165295124054
1767726477.1066082,1192,0.1302056908607483
1767726477.1094162,1193,0.13857494294643402
