Wall time,Step,Value
1767722051.8412154,147456,0.12392578274011612
1767722164.1381469,149504,0.05971679836511612
1767722275.8012176,151552,0.07705078274011612
1767722386.769492,153600,0.05058593675494194
1767722498.8933055,155648,0.08784179389476776
1767722609.965158,157696,0.07656250149011612
1767722720.905305,159744,0.17875976860523224
1767722831.537224,161792,0.08627929538488388
1767722941.585212,163840,0.07192382961511612
1767723052.7492702,165888,0.15703125298023224
1767723163.7013264,167936,0.06240234524011612
1767723275.1732652,169984,0.06899414211511612
1767723386.6344485,172032,0.11909179389476776
1767723497.6541817,174080,0.10244140774011612
1767723608.4816642,176128,0.13554687798023224
1767723719.4763114,178176,0.10415039211511612
1767723831.139085,180224,0.08393554389476776
1767723942.0326324,182272,0.13461914658546448
1767724053.4039948,184320,0.10087890923023224
1767724165.2978802,186368,0.08930663764476776
1767724277.1613522,188416,0.04628906399011612
1767724388.552638,190464,0.13823242485523224
1767724499.65319,192512,0.12739257514476776
1767724611.0644581,194560,0.10410156100988388
1767724722.587065,196608,0.07368163764476776
1767724834.7729926,198656,0.13212890923023224
1767724945.3936553,200704,0.11279296875
1767725056.5733788,202752,0.12998047471046448
1767725168.097056,204800,0.06962890923023224
1767725279.7051125,206848,0.12197265774011612
1767725391.5371644,208896,0.13925781846046448
1767725502.789832,210944,0.15830078721046448
1767725613.592095,212992,0.07099609076976776
1767725725.5030918,215040,0.07436523586511612
