Wall time,Step,Value
1767721940.0364096,145408,-30.67254638671875
1767722051.8411853,147456,-30.641542434692383
1767722164.1380467,149504,-31.2386531829834
1767722275.8011694,151552,-30.412622451782227
1767722386.7694464,153600,-30.68301773071289
1767722498.893267,155648,-30.504348754882812
1767722609.9651272,157696,-31.009721755981445
1767722720.905275,159744,-31.456666946411133
1767722831.537187,161792,-30.772113800048828
1767722941.5851114,163840,-31.235408782958984
1767723052.7492409,165888,-31.395835876464844
1767723163.7012866,167936,-30.112585067749023
1767723275.173235,169984,-30.732248306274414
1767723386.6344168,172032,-30.350147247314453
1767723497.65408,174080,-30.20720863342285
1767723608.4816318,176128,-31.356300354003906
1767723719.4762242,178176,-31.68581199645996
1767723831.1389875,180224,-32.40119934082031
1767723942.0325396,182272,-31.010713577270508
1767724053.4039025,184320,-31.196157455444336
1767724165.2977874,186368,-30.143089294433594
1767724277.1612551,188416,-30.665834426879883
1767724388.5525484,190464,-31.219532012939453
1767724499.653159,192512,-30.566240310668945
1767724611.0643625,194560,-30.081815719604492
1767724722.586974,196608,-30.649120330810547
1767724834.7728965,198656,-31.024993896484375
1767724945.3935177,200704,-30.8667049407959
1767725056.5733473,202752,-30.71356201171875
1767725168.0970216,204800,-31.480241775512695
1767725279.7050827,206848,-32.0839729309082
1767725391.5371323,208896,-32.672203063964844
1767725502.7897387,210944,-32.74567413330078
1767725613.5919955,212992,-32.74567413330078
1767725725.5029998,215040,-31.11130714416504
