model,subset,checkpoint_path,sample_count,steering_mae,steering_rmse,speed_mae,speed_rmse,combined_rmse,mean_pred_steering,mean_pred_speed,mean_true_steering,mean_true_speed
old,all,/home/feras/sim_ws/old stuff/diffusion_policy.pt,1024.0,0.02048584073781967,0.030565155670046806,0.05572870373725891,0.14871323108673096,0.1518217921257019,-0.0004273015074431896,4.944411754608154,0.007161746732890606,5.0
old,hairpin,/home/feras/sim_ws/old stuff/diffusion_policy.pt,20.0,0.04542727395892143,0.053404901176691055,0.04713175445795059,0.050727829337120056,0.07365728169679642,0.24824924767017365,4.955832481384277,0.2494458258152008,5.0
old,non_hairpin,/home/feras/sim_ws/old stuff/diffusion_policy.pt,1004.0,0.019988998770713806,0.029933668673038483,0.055899959057569504,0.15001638233661652,0.15297366678714752,-0.005381016992032528,4.944184303283691,0.0023353707510977983,5.0
old,left_turn,/home/feras/sim_ws/old stuff/diffusion_policy.pt,34.0,0.03948073089122772,0.0478249229490757,0.04975024238228798,0.05351376533508301,0.0717700868844986,0.21177606284618378,4.954481601715088,0.20750220119953156,5.0
old,right_turn,/home/feras/sim_ws/old stuff/diffusion_policy.pt,8.0,0.0316312201321125,0.03392873331904411,0.04296445846557617,0.04408697411417961,0.055631108582019806,-0.12860175967216492,4.957036018371582,-0.11605442315340042,5.0
old,straight,/home/feras/sim_ws/old stuff/diffusion_policy.pt,873.0,0.01753891259431839,0.026678822934627533,0.05319651588797569,0.11875273287296295,0.12171266227960587,-0.0005841355305165052,4.946803569793701,0.005150470416992903,5.0
old,high_steer,/home/feras/sim_ws/old stuff/diffusion_policy.pt,12.0,0.03155747056007385,0.037432484328746796,0.041430871933698654,0.045161377638578415,0.05865782871842384,0.3066672384738922,4.970560073852539,0.30392590165138245,5.0
new,all,/home/feras/sim_ws/diffusion_f110/models/diffusion_policy.pt,1024.0,0.030082758516073227,0.04201880842447281,0.019307805225253105,0.024198638275265694,0.04848870262503624,0.020776698365807533,5.001203536987305,0.007161746732890606,5.0
new,hairpin,/home/feras/sim_ws/diffusion_f110/models/diffusion_policy.pt,20.0,0.0908387303352356,0.1073797196149826,0.02244102954864502,0.02756459079682827,0.11086122691631317,0.16102507710456848,5.003836631774902,0.2494458258152008,5.0
new,non_hairpin,/home/feras/sim_ws/diffusion_f110/models/diffusion_policy.pt,1004.0,0.028872478753328323,0.03963661938905716,0.019245391711592674,0.024126818403601646,0.046402208507061005,0.017982903867959976,5.001151084899902,0.0023353707510977983,5.0
new,left_turn,/home/feras/sim_ws/diffusion_f110/models/diffusion_policy.pt,34.0,0.06864697486162186,0.08878473192453384,0.018162306398153305,0.022953184321522713,0.09170375019311905,0.14966166019439697,5.001317977905273,0.20750220119953156,5.0
new,right_turn,/home/feras/sim_ws/diffusion_f110/models/diffusion_policy.pt,8.0,0.04888904094696045,0.057612527161836624,0.02850109338760376,0.03227858245372772,0.06603869795799255,-0.06716538965702057,4.988226413726807,-0.11605442315340042,5.0
new,straight,/home/feras/sim_ws/diffusion_f110/models/diffusion_policy.pt,873.0,0.02839154377579689,0.03929169848561287,0.01946055144071579,0.02446405030786991,0.04628528282046318,0.021225333213806152,5.001004695892334,0.005150470416992903,5.0
new,high_steer,/home/feras/sim_ws/diffusion_f110/models/diffusion_policy.pt,12.0,0.10576153546571732,0.11835001409053802,0.024424513801932335,0.028045719489455223,0.12162765860557556,0.19816435873508453,5.011268138885498,0.30392590165138245,5.0
